ORIG_KEGG	ID_CODE	ORGANISM_NAME
hsa	HSA	Homo sapiens
ptr	PTR	Pan troglodytes
pps	PPS	Pan paniscus
ggo	GGO	Gorilla gorilla gorilla
pon	PON	Pongo abelii
ppyg	PP1	Pongo pygmaeus
nle	NLE	Nomascus leucogenys
hmh	HMH	Hylobates moloch
ssyn	SS1	Symphalangus syndactylus
mcc	MCC	Macaca mulatta
mcf	MCF	Macaca fascicularis
mthb	MT1	Macaca thibetana thibetana
mni	MNI	Macaca nemestrina
csab	CS1	Chlorocebus sabaeus
caty	CA1	Cercocebus atys
panu	PA1	Papio anubis
tge	TGE	Theropithecus gelada
mleu	ML1	Mandrillus leucophaeus
rro	RRO	Rhinopithecus roxellana
rbb	RBB	Rhinopithecus bieti
tfn	TFN	Trachypithecus francoisi
pteh	PT1	Piliocolobus tephrosceles
cang	CA2	Colobus angolensis palliatus
cjc	CJC	Callithrix jacchus
sbq	SBQ	Saimiri boliviensis boliviensis
cimi	CI1	Cebus imitator
anan	AN1	Aotus nancymaae
csyr	CS2	Carlito syrichta
mmur	MM1	Microcebus murinus
lcat	LC1	Lemur catta
eruf	ER1	Eulemur rufifrons
pcoq	PC1	Propithecus coquereli
oga	OGA	Otolemur garnettii
mmu	MMU	Mus musculus
mcal	MC1	Mus caroli
mpah	MP1	Mus pahari
rno	RNO	Rattus norvegicus
mcoc	MC2	Mastomys coucha
anu	ANU	Arvicanthis niloticus
asyl	AS1	Apodemus sylvaticus
mun	MUN	Meriones unguiculatus
cge	CGE	Cricetulus griseus
maua	MA1	Mesocricetus auratus
prob	PR1	Phodopus roborovskii
pleu	PL1	Peromyscus leucopus
pmav	PM1	Peromyscus maniculatus bairdii
morg	MO1	Microtus oregoni
mfot	MF1	Alexandromys fortis
aamp	AA1	Arvicola amphibius
cnl	CNL	Chionomys nivalis
ngi	NGI	Nannospalax galili
hgl	HGL	Heterocephalus glaber
cpoc	CP1	Cavia porcellus
ccan	CC1	Castor canadensis
dord	DO1	Dipodomys ordii
dsp	DSP	Dipodomys spectabilis
dmer	DM1	Dipodomys merriami
plop	PL2	Perognathus longimembris pacificus
ncar	NC1	Sciurus carolinensis
mmma	MM2	Marmota marmota marmota
iti	ITI	Ictidomys tridecemlineatus
ocu	OCU	Oryctolagus cuniculus
opi	OPI	Ochotona princeps
ocz	OCZ	Ochotona curzoniae
tup	TUP	Tupaia chinensis
gvr	GVR	Galeopterus variegatus
cfa	CFA	Canis lupus familiaris
clud	CL1	Canis lupus dingo
vvp	VVP	Vulpes vulpes
vlg	VLG	Vulpes lagopus
npo	NPO	Nyctereutes procyonoides
aml	AML	Ailuropoda melanoleuca
umr	UMR	Ursus maritimus
uah	UAH	Ursus arctos
uar	UAR	Ursus americanus
elk	ELK	Enhydra lutris kenyoni
llv	LLV	Lutra lutra
mpuf	MP2	Mustela putorius furo
